timestamp,route,direction,staCode,busPlate,status,speed
2026-07-12T01:00:55.134Z,N6,0,T373/1,AB6431,0,41
2026-07-12T01:00:55.134Z,N6,0,T560/7,AB6621,0,45
2026-07-12T01:00:55.134Z,N6,0,T550/4,AA7601,1,
2026-07-12T01:31:00.538Z,N6,0,T551/2,AB6621,0,43
2026-07-12T01:31:00.538Z,N6,0,T309,AA7601,1,36
2026-07-12T01:45:19.433Z,N6,0,T551/2,AB6431,0,10
2026-07-12T01:45:19.433Z,N6,0,T315,AB6621,0,40
2026-07-12T01:45:19.433Z,N6,0,T422,AA7601,0,44
2026-07-12T02:15:20.208Z,N6,0,T420,AB6431,0,47
2026-07-12T02:15:20.208Z,N6,0,T550/4,AB6621,1,
2026-07-12T02:30:53.376Z,N6,0,T360,AA7601,1,35
2026-07-12T02:30:53.376Z,N6,0,T554,AB6431,0,44
2026-07-12T03:00:56.002Z,N6,0,T372,AB6431,0,46
2026-07-12T03:00:56.002Z,N6,0,T560/7,AA7601,1,45
2026-07-12T03:15:18.821Z,N6,0,T306,AB6431,1,34
2026-07-12T03:45:18.592Z,N6,0,T313,AA7601,1,34
2026-07-12T04:00:54.869Z,N6,0,T551/2,AB6431,0,19
2026-07-12T04:00:54.869Z,N6,0,T377,AA7601,0,8
2026-07-12T05:15:19.296Z,N6,0,T423,AB6431,1,49
2026-07-12T05:15:19.296Z,N6,0,T560/7,AA7601,0,48
